MID,CHURN,CALL_CENTRE_CALLS,MFTR,EXTERNAL_CONGESTION_ERRORS,NORMAL_CALLS,SUBSCRIBER_ERRORS,QOS_CONGESTION,QOS_SUBSCRIBER,QOS_GROUP,USAGE_DIRECTION,EVENT_TYPE_DATA_USAGE_DIRECTION,EVENT_TYPE_INCOMING_USAGE_DIRECT,EVENT_TYPE_OUTGOING_USAGE_DIRECT,EVENT_TYPE_SMS_USAGE_DIRECTION,OUTGOING_OVERALL,INCOMING_OVERALL,SMS_OVERALL,DATA_OVERALL,USAGE_LIFESTYLE,LIFESTYLE
189,"0",,"Samsung",0,43,0,0.000000,0.000000,"Good",0.784848,0.000000,2.757576,1.166667,0.000000,-0.733780,-0.740463,-0.721626,-0.753832,"Low Overall","Undef"
193,"0",,"Apple",0,227,0,0.000000,0.000000,"Good",1.360634,,1.230453,1.619529,1.231920,-0.441120,-0.284538,-0.540426,-1.000000,"No Data Usage","Daily Grinder"
194,"0",,"Apple",0,138,0,0.000000,0.000000,"Good",1.143677,,2.246914,0.892157,1.435637,-0.427509,-0.587479,-0.242589,-1.000000,"No Data Usage","Homebody"
195,"0",2,"LG",0,77,0,0.000000,0.000000,"Good",0.853535,,1.181818,1.181818,0.196970,-0.638183,-0.644221,-0.715068,-1.000000,"No Data Usage","Daily Grinder"
197,"0",,"Apple",1,796,0,0.001256,0.000000,"Good",1.020954,,0.855007,1.112388,1.095467,1.339460,0.606785,-0.380303,-1.000000,"Voice Caller","Undef"
199,"0",,"Apple",0,214,0,0.000000,0.000000,"Good",0.941100,,0.912281,0.752066,1.158954,-0.403477,-0.367368,-0.125402,-1.000000,"No Data Usage","Daily Grinder"
204,"1",3,"Apple",3,406,0,0.007389,0.000000,"Fair",0.790500,,1.036232,0.312963,1.022306,0.445830,-0.226786,0.322301,-1.000000,"High SMS","Daily Grinder"
212,"0",2,"Nokia",1,566,0,0.001767,0.000000,"Good",1.285377,,1.720588,1.236786,0.898755,1.118957,0.135931,0.632524,-1.000000,"High SMS","Undef"
213,"1",5,"Apple",2,531,0,0.003766,0.000000,"Good",0.734200,,0.977778,0.691640,0.533184,0.371966,0.494094,-0.522544,-1.000000,"Voice Caller","Daily Grinder"
214,"0",,"Apple",0,27,0,0.000000,0.000000,"Good",2.922902,,1.733333,6.190476,0.844896,-0.842743,-0.775464,-0.428592,-1.000000,"No Data Usage","Homebody"
