LOCATION,EVENT_SUCCESS_Mean,EVENT_DURATION_Mean,Record_Count,Region,District,LONGITUDE,LATITUDE
"Cell_S1694",1.000000,266.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.772627,1.302411
"Cell_S1695",1.000000,89.166667,6,"West","Dover Buona Vista Singapore Polytechnic",103.791215,1.303943
"Cell_S1696",1.000000,31.666667,3,"West","Clementi",103.769080,1.317703
"Cell_S1697",1.000000,23.500000,2,"West","Dover Buona Vista Singapore Polytechnic",103.780875,1.299653
"Cell_S1698",1.000000,261.000000,1,"West","Clementi",103.762236,1.321499
"Cell_S1699",0.750000,478.000000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.772969,1.299326
"Cell_S17",1.000000,207.000000,2,"West","Jurong East",103.748983,1.333136
"Cell_S170",1.000000,104.736842,19,"Central","Marina South",103.854157,1.279430
"Cell_S1700",1.000000,59.000000,1,"West","Clementi",103.751991,1.310324
"Cell_S1701",1.000000,55.333333,3,"West","Pasir Panjang Alexandra Kent Ridge",103.799277,1.276147
"Cell_S1702",1.000000,132.250000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.777455,1.291773
"Cell_S1703",1.000000,861.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.780358,1.291117
"Cell_S1704",0.500000,246.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.780358,1.291117
"Cell_S1705",1.000000,90.444444,9,"West","Clementi",103.770665,1.310919
"Cell_S1706",1.000000,36.833333,6,"West","Pasir Panjang Alexandra Kent Ridge",103.792190,1.287156
"Cell_S1707",1.000000,57.714286,7,"West","Pasir Panjang Alexandra Kent Ridge",103.779348,1.283087
"Cell_S1708",1.000000,173.750000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.779348,1.283087
"Cell_S1709",1.000000,9.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.799423,1.277399
"Cell_S171",1.000000,56.111111,9,"Central","Marina Esplanade Suntec",103.859356,1.291238
"Cell_S1710",1.000000,99.900000,10,"West","Dover Buona Vista Singapore Polytechnic",103.782648,1.304051
"Cell_S1711",1.000000,97.666667,24,"West","Pasir Panjang Alexandra Kent Ridge",103.801279,1.273622
"Cell_S1712",1.000000,123.333333,9,"West","Clementi",103.762236,1.321499
"Cell_S1713",1.000000,108.500000,4,"West","Dover Buona Vista Singapore Polytechnic",103.781566,1.308118
"Cell_S1714",1.000000,138.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.772969,1.299326
"Cell_S1715",1.000000,76.000000,3,"West","Clementi",103.765773,1.298470
"Cell_S1716",1.000000,162.600000,5,"West","Clementi",103.763844,1.309557
"Cell_S1717",1.000000,67.000000,2,"West","Clementi",103.769466,1.303728
"Cell_S1718",1.000000,166.500000,2,"West","Clementi",103.756152,1.321252
"Cell_S1719",1.000000,109.000000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.792190,1.287156
"Cell_S172",1.000000,83.500000,4,"Central","Marina South",103.854157,1.279430
"Cell_S1720",0.954545,78.045455,22,"West","Clementi",103.756152,1.321252
"Cell_S1721",1.000000,12.000000,2,"West","Dover Buona Vista Singapore Polytechnic",103.791215,1.303943
"Cell_S1722",0.800000,214.800000,5,"West","Pasir Panjang Alexandra Kent Ridge",103.791507,1.289340
"Cell_S1723",0.750000,143.750000,4,"West","Pasir Panjang Alexandra Kent Ridge",103.774099,1.301473
"Cell_S1724",1.000000,138.250000,4,"West","Clementi",103.761002,1.326275
"Cell_S1725",1.000000,89.700000,30,"West","Pasir Panjang Alexandra Kent Ridge",103.781543,1.295399
"Cell_S1726",1.000000,68.666667,3,"West","Clementi",103.754395,1.318088
"Cell_S1727",1.000000,14.000000,1,"West","Clementi",103.764423,1.314896
"Cell_S1728",1.000000,85.333333,6,"West","Clementi",103.751991,1.310324
"Cell_S1729",1.000000,513.000000,1,"West","Clementi",103.764521,1.318450
"Cell_S173",1.000000,19.000000,1,"Central","Marina South",103.854157,1.279430
"Cell_S1730",0.800000,189.800000,5,"West","Pasir Panjang Alexandra Kent Ridge",103.801922,1.277305
"Cell_S1731",1.000000,283.500000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.799277,1.276147
"Cell_S1732",1.000000,102.178571,28,"West","Clementi",103.765308,1.303686
"Cell_S1733",1.000000,61.000000,2,"West","Dover Buona Vista Singapore Polytechnic",103.781566,1.308118
"Cell_S1734",1.000000,96.500000,2,"West","Pasir Panjang Alexandra Kent Ridge",103.792190,1.287156
"Cell_S1735",1.000000,175.333333,3,"West","Clementi",103.760250,1.308657
"Cell_S1736",1.000000,87.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.801318,1.275224
"Cell_S1737",0.666667,51.666667,3,"West","Clementi",103.761112,1.304835
"Cell_S1738",1.000000,191.000000,1,"West","Pasir Panjang Alexandra Kent Ridge",103.772897,1.302721
"Cell_S1739",1.000000,40.500000,2,"West","Clementi",103.758479,1.301510
"Cell_S174",1.000000,387.937500,16,"Central","Marina South",103.860503,1.278887
"Cell_S1740",1.000000,87.857143,7,"West","Clementi",103.762500,1.293059
"Cell_S1741",1.000000,55.000000,5,"West","Clementi",103.761602,1.328376
